ID,Age,Gender,State,District,Urban_Rural,Education,Occupation,Income_Bracket,Employment_Status,Family_Size,Housing_Type,Religion,Caste_Category
44,42,Female,Andhra Pradesh,Vijayawada,Urban,Higher Secondary,Housewife,0-15000,Unemployed,5,Independent House,Hindu,OBC
45,39,Male,Telangana,Warangal,Urban,Graduate,Police Inspector,75000-100000,Employed,4,Independent House,Hindu,SC
46,47,Female,Bihar,Gaya,Urban,Primary,Domestic Worker,15000-25000,Employed,6,Independent House,Hindu,SC
47,33,Male,Jharkhand,Jamshedpur,Urban,Graduate,Steel Plant Engineer,75000-100000,Employed,3,Apartment,Hindu,General
48,50,Female,Assam,Silchar,Urban,Higher Secondary,Teacher,25000-50000,Employed,5,Independent House,Hindu,General
49,35,Male,Tripura,Udaipur,Urban,Higher Secondary,Government Clerk,25000-50000,Employed,4,Independent House,Hindu,General
50,29,Female,Manipur,Thoubal,Urban,Graduate,Doctor,75000-100000,Employed,3,Independent House,Hindu,General
51,62,Male,Maharashtra,Nagpur,Rural,Primary,Farmer,15000-25000,Self Employed,7,Kutcha House,Hindu,OBC
52,35,Female,Karnataka,Gulbarga,Rural,Higher Secondary,Anganwadi Worker,15000-25000,Employed,5,Pucca House,Hindu,SC
53,48,Male,Tamil Nadu,Salem,Rural,Higher Secondary,Agricultural Laborer,15000-25000,Employed,6,Semi-Pucca House,Hindu,OBC
54,41,Female,Delhi,Outer Delhi,Rural,Primary,Domestic Worker,15000-25000,Employed,5,Semi-Pucca House,Hindu,SC
55,57,Male,Gujarat,Rajkot,Rural,Primary,Cattle Farmer,25000-50000,Self Employed,8,Pucca House,Hindu,OBC
56,32,Female,West Bengal,Murshidabad,Rural,Higher Secondary,School Teacher,25000-50000,Employed,4,Pucca House,Hindu,General
57,44,Male,Rajasthan,Jodhpur,Rural,Primary,Agricultural Laborer,15000-25000,Employed,7,Kutcha House,Hindu,OBC
58,38,Female,Uttar Pradesh,Varanasi,Rural,Primary,Housewife,0-15000,Unemployed,6,Semi-Pucca House,Hindu,OBC
59,53,Male,Punjab,Patiala,Rural,Higher Secondary,Farmer,50000-75000,Self Employed,6,Pucca House,Sikh,General
60,29,Female,Haryana,Hisar,Rural,Graduate,Government Teacher,50000-75000,Employed,4,Pucca House,Hindu,General
61,46,Male,Madhya Pradesh,Gwalior,Rural,Primary,Agricultural Laborer,15000-25000,Employed,7,Kutcha House,Hindu,SC
62,34,Female,Odisha,Puri,Rural,Higher Secondary,Self Help Group Leader,15000-25000,Self Employed,5,Semi-Pucca House,Hindu,OBC
63,51,Male,Kerala,Palakkad,Rural,Higher Secondary,Rubber Tapper,25000-50000,Self Employed,5,Pucca House,Hindu,OBC
64,39,Female,Andhra Pradesh,Guntur,Rural,Primary,Agricultural Laborer,15000-25000,Employed,6,Semi-Pucca House,Hindu,SC
65,42,Male,Telangana,Karimnagar,Rural,Higher Secondary,Farmer,25000-50000,Self Employed,5,Pucca House,Hindu,OBC
66,55,Female,Bihar,Muzaffarpur,Rural,Primary,Domestic Worker,15000-25000,Employed,8,Kutcha House,Hindu,SC
67,37,Male,Jharkhand,Dhanbad,Rural,Higher Secondary,Coal Miner,25000-50000,Employed,5,Semi-Pucca House,Hindu,ST
68,43,Female,Assam,Jorhat,Rural,Primary,Tea Garden Worker,15000-25000,Employed,6,Kutcha House,Hindu,OBC
69,49,Male,Tripura,Dhalai,Rural,Higher Secondary,Government Employee,25000-50000,Employed,5,Pucca House,Hindu,General
70,31,Female,Manipur,Bishnupur,Rural,Graduate,Health Worker,25000-50000,Employed,4,Pucca House,Hindu,General
71,58,Male,Nagaland,Dimapur,Rural,Primary,Farmer,15000-25000,Self Employed,7,Semi-Pucca House,Christian,ST
72,36,Female,Mizoram,Lunglei,Rural,Higher Secondary,Weaver,15000-25000,Self Employed,5,Pucca House,Christian,ST
73,47,Male,Arunachal Pradesh,Papum Pare,Rural,Higher Secondary,Forest Guard,25000-50000,Employed,6,Pucca House,Hindu,ST
74,33,Female,Sikkim,South Sikkim,Rural,Graduate,Government Officer,50000-75000,Employed,4,Pucca House,Hindu,General
75,52,Male,Himachal Pradesh,Kullu,Rural,Higher Secondary,Apple Farmer,25000-50000,Self Employed,5,Pucca House,Hindu,General
76,28,Female,Uttarakhand,Haridwar,Rural,Graduate,Government Teacher,50000-75000,Employed,3,Pucca House,Hindu,General
77,61,Male,Jammu and Kashmir,Baramulla,Rural,Primary,Farmer,15000-25000,Self Employed,8,Semi-Pucca House,Muslim,General
78,40,Female,Ladakh,Kargil,Rural,Higher Secondary,Government Employee,25000-50000,Employed,5,Pucca House,Muslim,General
79,45,Male,Goa,South Goa,Rural,Higher Secondary,Fisherman,25000-50000,Self Employed,4,Pucca House,Hindu,OBC
80,37,Female,Puducherry,Karaikal,Rural,Primary,Agricultural Laborer,15000-25000,Employed,5,Semi-Pucca House,Hindu,OBC
81,26,Male,Maharashtra,Solapur,Rural,Graduate,Agricultural Extension Officer,50000-75000,Employed,4,Pucca House,Hindu,General
82,54,Female,Karnataka,Bijapur,Rural,Primary,Agricultural Laborer,15000-25000,Employed,7,Kutcha House,Hindu,SC
83,41,Male,Tamil Nadu,Thanjavur,Rural,Higher Secondary,Rice Farmer,25000-50000,Self Employed,6,Pucca House,Hindu,OBC
84,35,Female,Gujarat,Bhavnagar,Rural,Higher Secondary,Dairy Worker,15000-25000,Self Employed,5,Semi-Pucca House,Hindu,OBC
85,48,Male,West Bengal,Nadia,Rural,Primary,Jute Farmer,15000-25000,Self Employed,6,Semi-Pucca House,Hindu,SC
86,32,Female,Rajasthan,Bharatpur,Rural,Higher Secondary,ASHA Worker,15000-25000,Employed,4,Pucca House,Hindu,OBC
87,56,Male,Uttar Pradesh,Gorakhpur,Rural,Primary,Agricultural Laborer,15000-25000,Employed,8,Kutcha House,Hindu,OBC
88,39,Female,Punjab,Bathinda,Rural,Graduate,Government Teacher,50000-75000,Employed,4,Pucca House,Sikh,General
89,43,Male,Haryana,Karnal,Rural,Higher Secondary,Wheat Farmer,50000-75000,Self Employed,5,Pucca House,Hindu,General
90,30,Female,Madhya Pradesh,Ratlam,Rural,Graduate,Bank Officer,50000-75000,Employed,3,Pucca House,Hindu,General
91,59,Male,Odisha,Balasore,Rural,Primary,Fisherman,15000-25000,Self Employed,7,Semi-Pucca House,Hindu,OBC
92,36,Female,Kerala,Wayanad,Rural,Higher Secondary,Spice Farmer,25000-50000,Self Employed,5,Pucca House,Hindu,ST
93,44,Male,Andhra Pradesh,Chittoor,Rural,Higher Secondary,Mango Farmer,25000-50000,Self Employed,6,Pucca House,Hindu,OBC
94,38,Female,Telangana,Nalgonda,Rural,Primary,Cotton Farmer,15000-25000,Self Employed,5,Semi-Pucca House,Hindu,OBC
95,50,Male,Bihar,Darbhanga,Rural,Primary,Agricultural Laborer,15000-25000,Employed,7,Kutcha House,Hindu,SC
96,33,Female,Jharkhand,Hazaribagh,Rural,Higher Secondary,Government Employee,25000-50000,Employed,4,Pucca House,Hindu,ST
97,46,Male,Assam,Golaghat,Rural,Higher Secondary,Tea Garden Supervisor,25000-50000,Employed,5,Pucca House,Hindu,OBC
98,41,Female,Tripura,Gomati,Rural,Primary,Rubber Tapper,15000-25000,Self Employed,6,Semi-Pucca House,Hindu,General
99,52,Male,Manipur,Churachandpur,Rural,Higher Secondary,Government Clerk,25000-50000,Employed,5,Pucca House,Christian,ST
100,34,Female,Nagaland,Mokokchung,Rural,Graduate,School Principal,50000-75000,Employed,4,Pucca House,Christian,ST
